description
"Behavioral Guidelines: Charges head first into combat, without subtlety."
"Makes a Melee attack OR rushes toward the closest opponent"
"Makes a Melee attack OR rushes toward the closest opponent"
"Makes a Melee attack OR rushes toward the closest opponent"
"Makes a Melee attack OR rushes toward the closest opponent"
"Makes a Melee attack OR rushes toward the closest opponent"
"Makes a Melee attack OR rushes toward the closest opponent"
"Makes a Melee attack OR rushes toward the closest opponent"
"Uses a special ability/skill (if applicable) OR makes a Melee attack"
"Uses a special ability/skill (if applicable) OR makes a Melee attack"
"Uses a special ability/skill (if applicable) OR makes a Melee attack"
