title,description
Swung Too Hard,"Without the resistance of a successful strike, you lose hold of your weapon. Spend 5 Stamina to either recover it or draw a different weapon."
Slipped,"You step on something slippery. Test DEX or be Knocked Down."
Moved Wrong,"You overdo it and pull a muscle. Test CON or reduce your Stamina by 3 for this encounter."
Lost Confidence,"Now that you think about it, this is not looking good. Reduce your Initiative by 2."
Panic Attack,"Test WIL or reduce your Combat skills by 2 for this encounter."
Twisted Ankle,"You step the wrong way and now it hurts each time you move. Add +2 to all incoming damage."
Exposed,"You swing ungraciously and leave yourself exposed. All enemies targeting you get a free attack."
Unguarded,"You are fighting recklessly. You cannot spend Stamina on defensive maneuvers for the rest of this encounter."
Exhausted,"The fight's weight suddenly overwhelms you. Roll Recovery Checks with disadvantage for this encounter."
Terrible Swing,"You miscalculate badly, not only missing your target but hitting yourself. Roll for damage as normal."
