title,description
Jammed Weapon,"It won’t fix itself! Either spend all your Stamina unjamming it or spend 5 Stamina to drop it and draw a different weapon."
Slipped,"You step on something slippery. Test DEX or be Knocked Down."
Dropped Weapon,"Your weapon slips from your sweaty hands. Spend 5 Stamina to either recover it or draw a different weapon."
Loss of Confidence,"Now that you think about it, this is not looking good. Reduce your Initiative by 2."
Panic Attack,"Test WIL or reduce your Combat skills by 2 for this encounter."
Shattered,"Instead of firing, your weapon blows up in your hands. You are unscathed but your weapon is scrap."
Exposed,"You step to the wrong side, leaving yourself exposed. All enemies targeting you get a free attack."
Unguarded,"You are fighting recklessly. You cannot spend Stamina on defensive maneuvers for the rest of this encounter."
Exhausted,"The fight’s weight suddenly overwhelms you. Roll Recovery Checks with disadvantage for this encounter."
Bad Luck,"In a twist of fate you not only miss your target, but the bullet ricochets and hits you. Roll for damage as normal."
