difficulty,description
Easy,"(5x) Easy creatures"
Easy,"(5x) Easy creatures"
Easy,"(5x) Easy creatures"
Easy,"(5x) Easy creatures"
Easy,"(5x) Easy creatures"
Easy,"(5x) Easy creatures"
Easy,"(5x) Easy creatures"
Easy,"(5x) Easy creatures"
Easy,"(5x) Easy creatures"
Easy,"(5x) Easy creatures"
Easy,"(2x) Standard + (1x) Easy creature"
Easy,"(2x) Standard + (1x) Easy creature"
Easy,"(2x) Standard + (1x) Easy creature"
Easy,"(2x) Standard + (1x) Easy creature"
Easy,"(1x) Standard + (3x) Easy creatures"
Easy,"(1x) Standard + (3x) Easy creatures"
Easy,"(1x) Standard + (3x) Easy creatures"
Easy,"(1x) Elite + (1x) Easy creature"
Easy,"(1x) Elite + (1x) Easy creature"
Easy,"(1x) Elite + (1x) Easy creature"

Standard,"(5x) Standard creatures"
Standard,"(5x) Standard creatures"
Standard,"(5x) Standard creatures"
Standard,"(5x) Standard creatures"
Standard,"(5x) Standard creatures"
Standard,"(4x) Standard + (2x) Easy creatures"
Standard,"(4x) Standard + (2x) Easy creatures"
Standard,"(3x) Standard + (4x) Easy creatures"
Standard,"(3x) Standard + (4x) Easy creatures"
Standard,"(2x) Standard + (6x) Easy creatures"
Standard,"(2x) Standard + (6x) Easy creatures"
Standard,"(1x) Standard + (8x) Easy creatures"
Standard,"(1x) Standard + (8x) Easy creatures"
Standard,"(2x) Elite + (1x) Standard creature"
Standard,"(2x) Elite + (1x) Standard creature"
Standard,"(1x) Elite + (3x) Standard creatures"
Standard,"(1x) Elite + (3x) Standard creatures"
Standard,"(2x) Elite + (2x) Easy creatures"
Standard,"(2x) Elite + (2x) Easy creatures"
Standard,"(10x) Easy creatures"

Elite,"(5x) Elite creatures"
Elite,"(5x) Elite creatures"
Elite,"(5x) Elite creatures"
Elite,"(5x) Elite creatures"
Elite,"(5x) Elite creatures"
Elite,"(4x) Elite + (4x) Easy creatures"
Elite,"(4x) Elite + (4x) Easy creatures"
Elite,"(3x) Elite + (8x) Easy creatures"
Elite,"(3x) Elite + (8x) Easy creatures"
Elite,"(2x) Elite + (12x) Easy creatures"
Elite,"(2x) Elite + (12x) Easy creatures"
Elite,"(1x) Elite + (16x) Easy creatures"
Elite,"(1x) Elite + (16x) Easy creatures"
Elite,"(4x) Elite + (4x) Standard creatures"
Elite,"(4x) Elite + (4x) Standard creatures"
Elite,"(3x) Elite + (4x) Standard creatures"
Elite,"(3x) Elite + (4x) Standard creatures"
Elite,"(2x) Elite + (6x) Standard creatures"
Elite,"(2x) Elite + (6x) Standard creatures"
Elite,"(1x) Elite + (8x) Standard creatures"

Elite,"(1x) Elite + (8x) Standard creatures"
Elite,"(20x) Easy creatures"
Elite,"(20x) Easy creatures"
Elite,"(10x) Standard creatures"
Elite,"(10x) Standard creatures"
Elite,"(1x) Overwhelming + (1x) Elite creature"
Elite,"(1x) Overwhelming + (1x) Elite creature"
Elite,"(1x) Overwhelming + (2x) Standard creatures"
Elite,"(1x) Overwhelming + (2x) Standard creatures"
Elite,"(1x) Overwhelming + (4x) Easy creatures"
Elite,"(1x) Overwhelming + (4x) Easy creatures"
Elite,"(5x) Standard + (10x) Easy creatures"
Elite,"(5x) Standard + (10x) Easy creatures"

Overwhelming,"(5x) Overwhelming creatures"
Overwhelming,"(5x) Overwhelming creatures"
Overwhelming,"(5x) Overwhelming creatures"
Overwhelming,"(5x) Overwhelming creatures"
Overwhelming,"(5x) Overwhelming creatures"
Overwhelming,"(5x) Overwhelming creatures"
Overwhelming,"(4x) Overwhelming + (2x) Elite creatures"
Overwhelming,"(4x) Overwhelming + (2x) Elite creatures"
Overwhelming,"(3x) Overwhelming + (4x) Elite creatures"
Overwhelming,"(3x) Overwhelming + (4x) Elite creatures"
Overwhelming,"(2x) Overwhelming + (6x) Elite creatures"
Overwhelming,"(2x) Overwhelming + (6x) Elite creatures"
Overwhelming,"(1x) Overwhelming + (8x) Elite creatures"
Overwhelming,"(1x) Overwhelming + (8x) Elite creatures"
Overwhelming,"(4x) Overwhelming + (4x) Standard creatures"
Overwhelming,"(4x) Overwhelming + (4x) Standard creatures"
Overwhelming,"(3x) Overwhelming + (8x) Standard creatures"
Overwhelming,"(3x) Overwhelming + (8x) Standard creatures"
Overwhelming,"(2x) Overwhelming + (12x) Standard creatures"
Overwhelming,"(2x) Overwhelming + (12x) Standard creatures"
Overwhelming,"(1x) Overwhelming + (16x) Standard creatures"
Overwhelming,"(1x) Overwhelming + (16x) Standard creatures"
Overwhelming,"(10x) Elite creatures"
Overwhelming,"(10x) Elite creatures"
Overwhelming,"(20x) Standard creatures"
Overwhelming,"(20x) Standard creatures"
Overwhelming,"(40x) Easy creatures"
Overwhelming,"(40x) Easy creatures"
Overwhelming,"(8x) Elite + (4x) Standard creatures"
Overwhelming,"(8x) Elite + (4x) Standard creatures"
Overwhelming,"(10x) Standard + (20x) Easy creatures"
Overwhelming,"(10x) Standard + (20x) Easy creatures"
