roll,title,description
1,CRITICAL INJURY,"The character suffers an especially severe wound. Roll on the Critical Injuries table."
2,GASH,"A deep wound cuts into the character’s chest (-5 CON)."
3,IMPAIRED ARM,"The hit wounds the character’s arm, making it difficult to move (-5 to all actions that imply the use of hands)."
4,IMPAIRED LEG,"A direct hit to the leg causes the character to lose mobility (-5 DEX)."
5,INFECTED WOUND,"The wound has been quickly infected—it requires Antibiotics soon or it may never heal (see Infected, pg 85)."
6,BROKEN RIBS,"A violent hit to the rib cage shatters a few ribs (-2 Stamina)."
7,SLASHED LEG,"The character’s leg suffers a deep cut, making it difficult to maneuver (no defensive maneuvers allowed)."
8,BANGED HEAD,"The character suffers a hit to the head. The shock makes them lose their next turn."
9,DAMAGED VISION,"The character suffers a hit to the face, blurring their vision (-5 to all actions)."
10,BRAIN DAMAGE,"The character suffers a severe hit to the head, damaging their brain and causing partial amnesia (-80 Experience Points)."
11,CRUSHED FINGERS,"A direct hit to the character’s hand damages their fingers (-5 to Combat Skills)."
12,SUPERFICIAL WOUND,"The character suffers an ugly-looking but superficial cut. No effect."
13,BRUISED BRAIN,"The character suffers a blow to the back of the head, temporarily confusing them (-5 INT)."
14,SLASHED EAR,"The character’s ear is damaged, reducing their hearing (-5 Perception)."
15,SLIT BICEP,"The character receives an ugly cut to the bicep (-5 STR)."
16,SCRATCHED BROW,"Their brow suffers a deep scratch, bleeding profusely and requiring a full round to clear their vision."
17,DAMAGED NERVES,"The character suffers nerve damage that induces seizures. Roll a D6 each turn—on a 1 they cannot act."
18,BLOOD LOSS,"A deep wound to their stomach begins bleeding profusely (+2 to all damage received)."
19,SAVAGE BLOW,"The injury was so violent that the character gains 1 Trauma (pg 98)."
20,TORN TO PIECES,"Miraculously the blow was absorbed by clothing. Any gear worn on the wound’s location is destroyed."
