description
"Large cracked towers, visually similar to hyperboloid cooling towers."
"A large field littered with pieces of twisted, broken metal, clearly manufactured."
"A plain covered with the bleached bones of large creatures, probably hundreds of years old."
"A lush, vibrantly red forest."
"Some sort of urban ruins."
"Small, almost bucolic rolling hills, as far as the eye can see."
"A deep canyon. The rushing wind flows through it, producing a disquieting whistling."
"A broken mountain, its peak covered in the impact craters visible from miles away."
"A crater-filled plain, each hole filled with water."
"Deep fuming cracks in the earth."
