title,description
HYPERVENTILATION,"Increase the amount of oxygen you consume per Time Track reset by 1."
MARKED BY FEAR,"The horror you felt left a permanent physical mark on you. Whether it’s a twitchy eye, a shaky hand or a streak of white hair, the effects are visible (-1 CHA)."
WEAKENED CONSTITUTION,"The constant stress has left your heart weakened (-1 CON)."
PARANOIA,"You don’t really trust other people, and it shows (-2 Manipulation)."
OVERLY CAUTIOUS,"You know the horrors that are out there, and you are not going to rush into them. In solo play, +1 Time each time the Time Track is reset. In group play, always attack last."
DEATH WISH,"Sick with stress and desperation, you just want it to be over. Rolling a 1–3 on a Recovery check means you give up and remain Knocked Down."
UNFOCUSED,"You have problems focusing your attention on complicated tasks (-1 INT)."
PHOBIC,"Even the slightest shadow terrorizes you. Each time you gain Trauma, gain 1 extra."
DAMAGED MEMORY,"The intense trauma has damaged your brain. Each time you earn XP, you earn ⅓ less (rounding up)."
APATHETIC,"You no longer feel the urge to fight for anything (-1 WIL)."
APPREHENSIVE,"You start doubting your combat capabilities (-2 to all Combat skills)."
INSECURE,"You are afraid to jump into the fray (-1 Initiative)."
UNBELIEVER,"It is difficult for you to see your destiny (re-rolls now cost 2 Luck points)."
LET IT END,"You are tired of trying and failing at life (+1 to incoming Injury rolls)."
UNRELIABLE,"You doubt your own skills and can no longer roll critical successes."
TIRED,"Lacking the fighting capability you once had, standard attacks now cost 6 Stamina."
CARELESS,"You don’t really want to be bothered by dodging attacks. Dodging costs 1 more Stamina."
CLUMSY,"Your hands shake and you drop things easily. Perform DEX checks with Disadvantage."
FOGGY MIND,"You can’t concentrate on tasks for long. Perform INT checks with Disadvantage."
MARKED,"The darkness within calls the darkness without. Each Site has 2 additional Known Threats (pg 300). This is stackable if other characters are also marked."
