"category","description"
"Aesthetic","Art"
"Aesthetic","Sense"
"Aesthetic","Abstract"
"Aesthetic","Subjective"
"Aesthetic","Vision"
"Aesthetic","Design"
"Aesthetic","Harmony"
"Aesthetic","Concept"
"Aesthetic","Pleasure"
"Aesthetic","Relaxation"
"Aesthetic","Esthetic"
"Aesthetic","Creative"
"Aesthetic","Reflection"
"Aesthetic","Experience"
"Aesthetic","Sculpture"
"Aesthetic","Value"
"Aesthetic","Sophistication"
"Aesthetic","Leisure"
"Aesthetic","Variety"
"Aesthetic","Diversion"
"Communications","Tower"
"Communications","Console"
"Communications","Sign"
"Communications","System"
"Communications","Access"
"Communications","Connection"
"Communications","Array"
"Communications","Display"
"Communications","Communication"
"Communications","Network"
"Communications","Channel"
"Communications","Content"
"Communications","Symbol"
"Communications","Sound"
"Communications","Signal"
"Communications","Technology"
"Communications","Receptor"
"Communications","Facility"
"Communications","Interface"
"Communications","Satellite"
"Data Storage","Data Point"
"Data Storage","Terminal"
"Data Storage","Server"
"Data Storage","Library"
"Data Storage","Maintenance"
"Data Storage","Database"
"Data Storage","Facility"
"Data Storage","Security"
"Data Storage","Hardware"
"Data Storage","Software"
"Data Storage","Information"
"Data Storage","Interface"
"Data Storage","Access"
"Data Storage","Link"
"Data Storage","Node"
"Data Storage","Virtual"
"Data Storage","Storage"
"Data Storage","Circuit"
"Data Storage","Disposal"
"Data Storage","Process"
"Entertainment","Amusement"
"Entertainment","Joy"
"Entertainment","Technology"
"Entertainment","Device"
"Entertainment","Interface"
"Entertainment","Machinery"
"Entertainment","Music"
"Entertainment","Display"
"Entertainment","Digital"
"Entertainment","Gratification"
"Entertainment","Interaction"
"Entertainment","Amplifier"
"Entertainment","Creation"
"Entertainment","Reality"
"Entertainment","Wavelength"
"Entertainment","Channel"
"Entertainment","Ceremony"
"Entertainment","Data"
"Entertainment","Festival"
"Government","Executive"
"Government","Control"
"Government","Administration"
"Government","Archive"
"Government","Data"
"Government","Chart"
"Government","Public"
"Government","Authority"
"Government","Measure"
"Government","Law"
"Government","Organization"
"Government","Supervision"
"Government","Institution"
"Government","Establishment"
"Government","Overseer"
"Government","Domain"
"Government","Council"
"Government","Nation"
"Government","Planet"
"Government","Sector"
"Industrial","Manufacture"
"Industrial","Product"
"Industrial","Technology"
"Industrial","Machinery"
"Industrial","Power"
"Industrial","Factory"
"Industrial","Mine"
"Industrial","Metallurgy"
"Industrial","Chemical"
"Industrial","Biological"
"Industrial","Infrastructure"
"Industrial","Storage"
"Industrial","Development"
"Industrial","Automation"
"Industrial","Military"
"Industrial","Architecture"
"Industrial","Supply"
"Industrial","Utility"
"Industrial","Construction"
"Industrial","Engineering"
"Medical Research","Trauma"
"Medical Research","Injury"
"Medical Research","Patient"
"Medical Research","Technology"
"Medical Research","Data"
"Medical Research","Research"
"Medical Research","Infirmary"
"Medical Research","Pathology"
"Medical Research","Infestation"
"Medical Research","Morgue"
"Medical Research","Treatment"
"Medical Research","Specialist"
"Medical Research","Disease"
"Medical Research","Medicine"
"Medical Research","Theory"
"Medical Research","Discovery"
"Medical Research","Experiment"
"Medical Research","Seeker"
"Medical Research","Genetics"
"Military","Defense"
"Military","Attack"
"Military","Weapon"
"Military","Warfare"
"Military","Garrison"
"Military","Force"
"Military","Technology"
"Military","Mission"
"Military","Invasion"
"Military","Conflict"
