difficulty,description
Easy,"(3x) Easy creatures"
Easy,"(3x) Easy creatures"
Easy,"(3x) Easy creatures"
Easy,"(3x) Easy creatures"
Easy,"(3x) Easy creatures"
Easy,"(3x) Easy creatures"
Easy,"(3x) Easy creatures"
Easy,"(3x) Easy creatures"
Easy,"(3x) Easy creatures"
Easy,"(3x) Easy creatures"
Easy,"(3x) Easy creatures"
Easy,"(3x) Easy creatures"
Easy,"(1x) Easy + (1x) Standard creature"
Easy,"(1x) Easy + (1x) Standard creature"
Easy,"(1x) Easy + (1x) Standard creature"
Easy,"(1x) Easy + (1x) Standard creature"
Easy,"(1x) Easy + (1x) Standard creature"
Easy,"(1x) Easy + (1x) Standard creature"
Easy,"(1x) Easy + (1x) Standard creature"
Easy,"(1x) Easy + (1x) Standard creature"

Standard,"(3x) Standard creatures"
Standard,"(3x) Standard creatures"
Standard,"(3x) Standard creatures"
Standard,"(3x) Standard creatures"
Standard,"(3x) Standard creatures"
Standard,"(3x) Standard creatures"
Standard,"(3x) Standard creatures"
Standard,"(3x) Standard creatures"
Standard,"(3x) Standard creatures"
Standard,"(3x) Standard creatures"
Standard,"(2x) Easy + (2x) Standard creatures"
Standard,"(2x) Easy + (2x) Standard creatures"
Standard,"(2x) Easy + (2x) Standard creatures"
Standard,"(4x) Easy + (1x) Standard creature"
Standard,"(4x) Easy + (1x) Standard creature"
Standard,"(4x) Easy + (1x) Standard creature"
Standard,"(6x) Easy creatures"
Standard,"(6x) Easy creatures"
Standard,"(1x) Elite + (2x) Easy creatures"
Standard,"(1x) Elite + (2x) Easy creatures"

Elite,"(3x) Elite creatures"
Elite,"(3x) Elite creatures"
Elite,"(3x) Elite creatures"
Elite,"(3x) Elite creatures"
Elite,"(3x) Elite creatures"
Elite,"(3x) Elite creatures"
Elite,"(3x) Elite creatures"
Elite,"(3x) Elite creatures"
Elite,"(2x) Elite + (2x) Standard creatures"
Elite,"(2x) Elite + (2x) Standard creatures"
Elite,"(1x) Elite + (4x) Standard creatures"
Elite,"(1x) Elite + (4x) Standard creatures"
Elite,"(2x) Elite + (4x) Easy creatures"
Elite,"(2x) Elite + (4x) Easy creatures"
Elite,"(1x) Elite + (8x) Easy creatures"
Elite,"(1x) Elite + (8x) Easy creatures"
Elite,"(6x) Standard creatures"
Elite,"(6x) Standard creatures"
Elite,"(10x) Easy creatures"
Elite,"(10x) Easy creatures"

Overwhelming,"(3x) Overwhelming creatures"
Overwhelming,"(3x) Overwhelming creatures"
Overwhelming,"(3x) Overwhelming creatures"
Overwhelming,"(3x) Overwhelming creatures"
Overwhelming,"(3x) Overwhelming creatures"
Overwhelming,"(3x) Overwhelming creatures"
Overwhelming,"(2x) Overwhelming + (2x) Elite creatures"
Overwhelming,"(2x) Overwhelming + (2x) Elite creatures"
Overwhelming,"(1x) Overwhelming + (4x) Elite creatures"
Overwhelming,"(1x) Overwhelming + (4x) Elite creatures"
Overwhelming,"(1x) Overwhelming + (8x) Standard creatures"
Overwhelming,"(1x) Overwhelming + (8x) Standard creatures"
Overwhelming,"(1x) Overwhelming + (12x) Standard creatures"
Overwhelming,"(1x) Overwhelming + (12x) Standard creatures"
Overwhelming,"(2x) Overwhelming + (16x) Easy creatures"
Overwhelming,"(2x) Overwhelming + (16x) Easy creatures"
Overwhelming,"(1x) Overwhelming + (20x) Easy creatures"
Overwhelming,"(1x) Overwhelming + (20x) Easy creatures"
Overwhelming,"(24x) Easy creatures"
Overwhelming,"(24x) Easy creatures"
